,potential,step
1440,0.0625,1440
1441,0.0625,1441
1442,0.0625,1442
1443,0.0625,1443
1444,0.0625,1444
1445,0.0625,1445
1446,0.0625,1446
1447,0.0625,1447
1448,0.0625,1448
1449,0.0625,1449
1450,0.0625,1450
1451,0.0625,1451
1452,0.0625,1452
1453,0.0625,1453
1454,0.0625,1454
1455,0.0625,1455
1456,0.0625,1456
1457,0.03125,1457
1458,0.03125,1458
1459,0.03125,1459
1460,0.03125,1460
1461,0.03125,1461
1462,0.03125,1462
1463,0.03125,1463
1464,0.03125,1464
1465,0.03125,1465
1466,0.03125,1466
1467,0.03125,1467
1468,0.03125,1468
1469,0.03125,1469
1470,0.03125,1470
1471,0.03125,1471
1472,0.03125,1472
1473,0.03125,1473
1474,0.03125,1474
1475,0.03125,1475
1476,0.03125,1476
1477,0.03125,1477
1478,0.03125,1478
1479,0.03125,1479
1480,0.03125,1480
1481,0.03125,1481
1482,0.03125,1482
1483,0.03125,1483
1484,0.03125,1484
1485,0.03125,1485
1486,0.03125,1486
1487,0.03125,1487
1488,0.03125,1488
1489,0.03125,1489
1490,0.03125,1490
1491,0.03125,1491
1492,0.03125,1492
1493,0.03125,1493
1494,0.03125,1494
1495,0.03125,1495
1496,0.03125,1496
1497,0.03125,1497
1498,0.03125,1498
1499,0.03125,1499
1500,0.03125,1500
1501,0.03125,1501
1502,0.03125,1502
1503,0.03125,1503
1504,0.03125,1504
1505,0.03125,1505
1506,0.03125,1506
1507,0.03125,1507
1508,0.03125,1508
1509,0.03125,1509
1510,0.03125,1510
1511,0.03125,1511
1512,0.03125,1512
1513,0.03125,1513
1514,0.03125,1514
1515,0.03125,1515
1516,0.03125,1516
1517,0.03125,1517
1518,0.03125,1518
1519,0.03125,1519
1520,0.03125,1520
1521,0.03125,1521
1522,0.03125,1522
1523,0.03125,1523
1524,0.03125,1524
1525,0.03125,1525
1526,0.03125,1526
1527,0.03125,1527
1528,0.03125,1528
1529,0.03125,1529
1530,0.03125,1530
1531,0.03125,1531
1532,0.03125,1532
1533,0.03125,1533
1534,0.03125,1534
1535,0.03125,1535
1536,0.03125,1536
1537,0.03125,1537
1538,0.03125,1538
1539,0.03125,1539
1540,0.03125,1540
1541,0.03125,1541
1542,0.03125,1542
1543,0.03125,1543
1544,0.03125,1544
1545,0.03125,1545
1546,0.03125,1546
1547,0.03125,1547
1548,0.03125,1548
1549,0.03125,1549
1550,0.03125,1550
1551,0.03125,1551
1552,0.03125,1552
1553,0.03125,1553
1554,0.03125,1554
1555,0.03125,1555
1556,0.03125,1556
1557,0.03125,1557
1558,0.03125,1558
1559,0.03125,1559
